id,timestamp,severity,alert_type,source_ip,destination_ip,protocol,description,threat_score,hybrid_score
1053,2026-03-04T11:24:45.629731,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1054,2026-03-04T11:24:53.181967,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1055,2026-03-04T11:24:53.193122,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1056,2026-03-04T11:24:53.203340,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1057,2026-03-04T11:24:53.215394,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1058,2026-03-04T11:24:53.225924,high,known_attack,172.16.7.231,54.236.104.103,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1059,2026-03-04T11:24:53.246784,high,known_attack,172.16.7.231,54.236.104.103,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1060,2026-03-04T11:24:53.258400,high,known_attack,172.16.7.231,54.236.104.103,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1061,2026-03-04T11:24:53.280110,high,known_attack,172.16.7.231,54.236.104.103,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1062,2026-03-04T11:24:57.538066,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1063,2026-03-04T11:24:57.580427,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1064,2026-03-04T11:24:57.603481,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1065,2026-03-04T11:24:57.641322,high,known_attack,172.16.6.170,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1066,2026-03-04T11:24:57.676920,high,known_attack,172.16.6.170,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1067,2026-03-04T11:25:00.047027,high,known_attack,172.16.6.170,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1068,2026-03-04T11:25:00.071634,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1069,2026-03-04T11:25:07.508561,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1070,2026-03-04T11:25:09.106845,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
