id,timestamp,severity,alert_type,source_ip,destination_ip,protocol,description,threat_score,hybrid_score
2882,2026-03-09T19:19:48.384075,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2883,2026-03-09T19:19:59.332408,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2884,2026-03-09T19:20:05.196921,high,known_attack,172.16.4.151,140.82.112.21,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2885,2026-03-09T19:20:05.219544,high,known_attack,172.16.4.151,140.82.112.21,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2886,2026-03-09T19:20:07.530888,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2887,2026-03-09T19:20:11.507841,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2888,2026-03-09T19:20:14.674166,high,known_attack,172.16.4.151,140.82.121.6,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2889,2026-03-09T19:20:14.689789,high,known_attack,172.16.4.151,140.82.121.6,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2890,2026-03-09T19:20:14.699472,high,known_attack,172.16.4.151,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2891,2026-03-09T19:20:16.392976,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2892,2026-03-09T19:20:17.929696,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2893,2026-03-09T19:20:22.386615,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2894,2026-03-09T19:20:22.403689,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2895,2026-03-09T19:20:22.415933,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2896,2026-03-09T19:20:24.864805,high,known_attack,172.16.4.151,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
2897,2026-03-09T19:20:24.881188,high,known_attack,172.16.4.151,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
2898,2026-03-09T19:20:28.146987,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2899,2026-03-09T19:20:36.859264,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2900,2026-03-09T19:20:38.575869,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2901,2026-03-09T19:20:41.787390,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2902,2026-03-09T19:20:43.305816,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2903,2026-03-09T19:20:43.332360,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2904,2026-03-09T19:20:48.512149,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2905,2026-03-09T19:20:50.436999,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2906,2026-03-09T19:20:53.498907,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2907,2026-03-09T19:20:56.048802,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2908,2026-03-09T19:20:56.072473,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2909,2026-03-09T19:20:58.578898,high,known_attack,172.16.4.151,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2910,2026-03-09T19:21:00.789038,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2911,2026-03-09T19:21:09.347188,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2912,2026-03-09T19:21:18.517000,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2913,2026-03-09T19:21:28.577589,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2914,2026-03-09T19:21:35.387305,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2915,2026-03-09T19:21:38.350960,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2916,2026-03-09T19:21:39.115943,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2917,2026-03-09T19:21:39.975822,high,known_attack,172.16.4.151,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2918,2026-03-09T19:21:48.308435,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2919,2026-03-09T19:21:51.262390,high,known_attack,172.16.4.151,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2920,2026-03-09T19:21:51.288031,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2921,2026-03-09T19:21:53.747196,high,known_attack,172.16.5.245,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
2922,2026-03-09T19:21:53.758365,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2923,2026-03-09T19:21:53.767962,high,known_attack,172.16.4.151,20.189.173.18,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2924,2026-03-09T19:21:53.779498,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2925,2026-03-09T19:21:53.791997,high,known_attack,172.16.5.245,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
2926,2026-03-09T19:21:56.898310,high,known_attack,172.16.5.245,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
2927,2026-03-09T19:21:58.753376,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
