id,timestamp,severity,alert_type,source_ip,destination_ip,protocol,description,threat_score,hybrid_score
2882,2026-03-09T19:19:48.384075,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2883,2026-03-09T19:19:59.332408,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2884,2026-03-09T19:20:05.196921,high,known_attack,172.16.4.151,140.82.112.21,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2885,2026-03-09T19:20:05.219544,high,known_attack,172.16.4.151,140.82.112.21,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2886,2026-03-09T19:20:07.530888,high,known_attack,172.16.4.151,52.200.46.145,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2887,2026-03-09T19:20:11.507841,high,known_attack,172.16.4.151,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2888,2026-03-09T19:20:14.674166,high,known_attack,172.16.4.151,140.82.121.6,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2889,2026-03-09T19:20:14.689789,high,known_attack,172.16.4.151,140.82.121.6,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
2890,2026-03-09T19:20:14.699472,high,known_attack,172.16.4.151,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
